key,model,cot_samples,epoch,eff,spec,ff_hard_all,step_ff_hard_all,mean_ff_soft_all,ff_hard_eligible
8b_n250_e5,Qwen3-8B,250,1,42.447375031085855,96.56626506024097,3.0434782608695654,1.6064257028112447,1.4131392052978733,3.4653465346534658
8b_n250_e5,Qwen3-8B,250,2,61.94839017993096,96.73694779116465,7.391304347826087,4.016064257028113,2.88481512217454,6.435643564356436
8b_n250_e5,Qwen3-8B,250,3,68.73009679413191,96.84738955823293,9.130434782608695,4.618473895582329,3.2415444909895577,7.920792079207921
8b_n250_e5,Qwen3-8B,250,4,70.99157949189754,96.92771084337349,8.26086956521739,4.618473895582329,3.183312772558203,6.9306930693069315
8b_n250_e5,Qwen3-8B,250,5,71.50331830210628,96.83734939759036,9.130434782608695,5.020080321285141,3.357407237717818,6.9306930693069315
4b_n250_e5,Qwen3-4B,250,1,57.42043481401622,98.51744186046511,6.956521739130435,5.813953488372093,3.3228604683782463,5.649717514124294
4b_n250_e5,Qwen3-4B,250,2,74.28314608712472,98.44476744186046,9.130434782608695,7.267441860465117,4.090492558442211,7.344632768361582
4b_n250_e5,Qwen3-4B,250,3,79.67384215441982,98.57558139534883,9.130434782608695,7.848837209302325,4.307641687084449,7.344632768361582
4b_n250_e5,Qwen3-4B,250,4,81.18389125503623,98.61918604651163,9.565217391304348,7.848837209302325,4.423175556589331,7.909604519774012
4b_n250_e5,Qwen3-4B,250,5,81.4996906419227,98.56104651162791,9.565217391304348,8.13953488372093,4.377999689776161,7.909604519774012
4b_n220_e10,Qwen3-4B,220,1,57.868147940939345,97.8428093645485,7.5,6.688963210702341,3.452673011128476,6.493506493506493
4b_n220_e10,Qwen3-4B,220,2,79.12123570535454,98.09364548494983,9.0,7.6923076923076925,4.749488152254049,7.792207792207792
4b_n220_e10,Qwen3-4B,220,3,84.85273261617402,97.89297658862876,11.0,8.695652173913043,5.040079593043875,9.740259740259742
4b_n220_e10,Qwen3-4B,220,4,87.67374950924626,98.02675585284281,11.5,9.364548494983277,5.753393894664447,10.38961038961039
4b_n220_e10,Qwen3-4B,220,5,88.99094127360738,97.8428093645485,11.0,8.695652173913043,5.418868047491264,9.740259740259742
4b_n220_e10,Qwen3-4B,220,6,89.66626702265877,97.82608695652173,12.5,10.033444816053512,6.110027822436101,11.688311688311687
4b_n220_e10,Qwen3-4B,220,7,90.01657302394533,98.09364548494983,12.5,10.033444816053512,6.2926257445858935,11.03896103896104
4b_n220_e10,Qwen3-4B,220,8,90.15176655023956,97.79264214046823,12.0,9.364548494983277,5.852397795135403,11.03896103896104
4b_n220_e10,Qwen3-4B,220,9,90.24663769357963,97.89297658862876,11.5,9.03010033444816,5.8548308971889655,9.740259740259742
4b_n220_e10,Qwen3-4B,220,10,90.24985571400538,98.04347826086956,12.0,9.364548494983277,6.082218409195498,10.38961038961039
