key,model,cot_samples,evaluated_epochs,target_questions,step_rows,eff,spec,eligible_questions,eligible_steps,ff_hard,step_ff_hard,max_ff_soft,ff_hard_all
8b_n250_e5,Qwen3-8B,250,5,230,498,63.124151959830506,96.78313253012048,202,449,7.920792079207921,4.67706013363029,6.59145327171639,10.0
4b_n250_e5,Qwen3-4B,250,5,230,344,74.81220099050394,98.5436046511628,177,271,8.47457627118644,7.011070110701106,7.18942401181131,10.434782608695652
4b_n220_e10,Qwen3-4B,220,5,200,299,79.7013614090643,97.93979933110369,154,236,11.688311688311687,9.322033898305085,9.052198772423603,13.0
