key,model,cot_samples,endpoint_epoch,eff,spec,ff_hard_all,step_ff_hard_all,mean_ff_soft_all,eligible_questions,ff_hard_eligible
8b_n250_e5,Qwen3-8B,250,5,71.50331830210628,96.83734939759036,9.130434782608695,5.020080321285141,3.357407237717818,202,6.9306930693069315
4b_n250_e5,Qwen3-4B,250,5,81.4996906419227,98.56104651162791,9.565217391304348,8.13953488372093,4.377999689776161,177,7.909604519774012
4b_n220_e10,Qwen3-4B,220,10,90.24985571400538,98.04347826086956,12.0,9.364548494983277,6.082218409195498,154,10.38961038961039
