run,run_label,rows_unlearned,instances_covered,mean_steps_per_instance,step_flip_count,step_flip_rate_pct,faithful_instance_count,faithful_instance_rate_pct,mean_efficacy_pct,median_efficacy_pct,mean_specificity_pct,mean_original_answer_mass_shift,median_original_answer_mass_shift,max_original_answer_mass_shift,mean_total_variation,cost_reduction_vs_full_pct,probability_sums_ok
full,Full FUR,431,80,5.3875,122,28.306264501160094,53,66.25,89.9427807703297,90.84275667822239,94.51276102088167,0.1355241858859001,0.0378907097394075,0.9271545400868616,0.24402106655617953,0.0,True
last_top1,Last-step top1,78,78,1.0,22,28.205128205128204,22,28.205128205128204,88.95657304526539,89.86107152959427,94.74358974358974,0.13605052332777937,0.04693441272249971,0.8944529024437767,0.22660558842756848,81.90255220417633,True
random_top1,Random top1,71,71,1.0,21,29.577464788732392,21,29.577464788732392,89.65248465522748,90.09865916361737,93.73239436619718,0.14460723033042364,0.0437976964366652,0.7908956787718907,0.24692412471272782,83.52668213457076,True
