dataset,dataset_name,arm,path,status,n_steps,n_questions,expected_questions,n_agreement_questions,eff,eff_final,spec,spec_final,gen_mmlu,post_cot_agree,faithfulness,ff_hard_all,ff_soft,ff_soft_all
arc-challenge,ARC-Challenge,CoT,final_result_CoT/arc-challenge/LLaMA-3-3B/cot_npo_KL_sentencize_s=True_lr=3e-05_rs=1001_n=100_pos=True_ff2=True.out,complete,752,100,100,77,75.79648960952686,81.54528868590893,95.58909574468085,95.22606382978724,nan,77.04787234042553,68.83116883116884,72.0,51.286582654425956,49.81240212126806
arc-challenge,ARC-Challenge,ToT-selected,final_result_ToT/arc-challenge/LLaMA-3-3B/tot_selected_npo_KL_sentencize_s=True_lr=3e-05_rs=1001_n=100_pos=True_ff2=True.out,complete,672,100,100,72,79.64647137606661,85.36368140804359,95.43452380952381,94.9702380952381,nan,78.92857142857143,72.22222222222221,73.0,58.540035294429245,52.41199572898854
openbook,OpenBookQA,CoT,final_result_CoT/openbook/LLaMA-3-3B/cot_npo_KL_sentencize_s=True_lr=3e-05_rs=1001_n=50_pos=True_ff2=True.out,complete,286,50,50,40,81.17495332258596,86.78755299245108,95.4020979020979,94.73776223776224,nan,70.0,72.5,74.0,50.1510174723753,47.7221776921494
openbook,OpenBookQA,ToT-selected,final_result_ToT/openbook/LLaMA-3-3B/tot_selected_npo_KL_sentencize_s=True_lr=3e-05_rs=1001_n=50_pos=True_ff2=True.out,complete,297,50,50,39,81.79973461230097,87.22477544188783,95.05387205387206,94.42760942760943,nan,72.5925925925926,71.7948717948718,78.0,55.32628594395265,52.6711569661203
