metric,n,base,sft,delta,ci_low,ci_high,p_value,improved,degraded
Direct accuracy,100,70.0,73.0,3.0,-3.0,9.0,0.5078125,6,3
CoT accuracy,100,73.0,77.0,4.0,-3.0,11.0,0.3876953125,8,4
Direct-CoT agreement,100,82.0,85.0,3.0,-5.0,11.0,0.629058837890625,10,7
CoT steps,100,6.37,3.12,-3.25,-3.83,-2.72,,,
CoT words,100,81.33,40.49,-40.84,-45.5,-35.93,,,
FF-HARD (common agree),75,68.0,64.0,-4.0,-16.0,8.0,0.6776394844055176,10,13
FF-SOFT (common agree),75,54.48615837097168,55.61060333251953,1.1244449615478516,-7.954007037480673,9.94579628308614,,,
Initial margin (common agree),75,73.18452962239583,82.48830159505208,9.30377197265625,5.340069325764974,13.375640614827473,,,
